language,anonymous_sample_id,model_code,source_model,source_file
english,sample_A_01.wav,A,mms,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\final\en_clone_01_greeting.wav
english,sample_A_02.wav,A,mms,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\final\en_clone_02_technology.wav
english,sample_A_03.wav,A,mms,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\final\en_clone_03_conversational.wav
english,sample_A_04.wav,A,mms,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\final\en_clone_04_numbers.wav
english,sample_A_05.wav,A,mms,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\final\en_clone_05_expressive.wav
english,sample_B_01.wav,B,neutts,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_01_greeting.wav
english,sample_B_02.wav,B,neutts,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_02_identity.wav
english,sample_B_03.wav,B,neutts,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_03_support.wav
english,sample_B_04.wav,B,neutts,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_04_numbers.wav
english,sample_B_05.wav,B,neutts,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_05_expressive.wav
hindi,sample_A_01.wav,A,mms,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\final\hi_clone_01_greeting.wav
hindi,sample_A_02.wav,A,mms,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\final\hi_clone_02_technology.wav
hindi,sample_A_03.wav,A,mms,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\final\hi_clone_03_conversational.wav
hindi,sample_A_04.wav,A,mms,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\final\hi_clone_04_numbers.wav
hindi,sample_A_05.wav,A,mms,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\final\hi_clone_05_expressive.wav
hindi,sample_B_01.wav,B,chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\final\hi_clone_01_greeting.wav
hindi,sample_B_02.wav,B,chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\final\hi_clone_02_technology.wav
hindi,sample_B_03.wav,B,chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\final\hi_clone_03_conversational.wav
hindi,sample_B_04.wav,B,chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\final\hi_clone_04_numbers.wav
hindi,sample_B_05.wav,B,chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\final\hi_clone_05_expressive.wav
arabic,sample_A_01.wav,A,chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\arabic\ar_clone_01_greeting.wav
arabic,sample_A_02.wav,A,chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\arabic\ar_clone_01_greeting_ref_long.wav
arabic,sample_A_03.wav,A,chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\arabic\ar_clone_01_greeting_ref_short.wav
arabic,sample_A_04.wav,A,chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\arabic\ar_clone_01_greeting_ref_standard.wav
arabic,sample_A_05.wav,A,chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\arabic\ar_clone_01_temp06_cfg05.wav
arabic,sample_B_01.wav,B,xtts,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\xtts\arabic\ar_clone_01_greeting.wav
arabic,sample_B_02.wav,B,xtts,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\xtts\arabic\ar_clone_02_technology.wav
arabic,sample_B_03.wav,B,xtts,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\xtts\arabic\ar_clone_03_conversational.wav
arabic,sample_B_04.wav,B,xtts,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\xtts\arabic\ar_clone_04_numbers.wav
arabic,sample_B_05.wav,B,xtts,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\xtts\arabic\ar_clone_05_expressive.wav
