language,model,generated_file,status,error,similarity_to_short,similarity_to_standard,similarity_to_long,average_similarity,maximum_similarity,passes_0_75
Arabic,XTTS-v2,outputs/xtts/arabic/ar_clone_01_greeting.wav,success,,0.639979,0.641144,0.591361,0.624161,0.641144,False
Arabic,XTTS-v2,outputs/xtts/arabic/ar_clone_02_technology.wav,success,,0.656687,0.641022,0.575429,0.624379,0.656687,False
Arabic,XTTS-v2,outputs/xtts/arabic/ar_clone_03_conversational.wav,success,,0.648966,0.644506,0.539719,0.611064,0.648966,False
Arabic,XTTS-v2,outputs/xtts/arabic/ar_clone_04_numbers.wav,success,,0.639607,0.62732,0.580569,0.615832,0.639607,False
Arabic,XTTS-v2,outputs/xtts/arabic/ar_clone_05_expressive.wav,success,,0.646353,0.611733,0.591174,0.61642,0.646353,False
Arabic,XTTS-v2,outputs/xtts/arabic/parameter_tests/ar_greeting_config_A.wav,success,,0.630203,0.629628,0.565391,0.608408,0.630203,False
Arabic,XTTS-v2,outputs/xtts/arabic/parameter_tests/ar_greeting_config_B.wav,success,,0.587951,0.625706,0.562844,0.592167,0.625706,False
Arabic,XTTS-v2,outputs/xtts/arabic/parameter_tests/ar_greeting_config_C.wav,success,,0.639979,0.641144,0.591361,0.624161,0.641144,False
Arabic,XTTS-v2,outputs/xtts/arabic/parameter_tests/ar_greeting_config_D.wav,success,,0.610498,0.645395,0.589334,0.615076,0.645395,False
Arabic,XTTS-v2,outputs/xtts/arabic/reference_tests/ar_greeting_long.wav,success,,0.534922,0.477138,0.637378,0.549813,0.637378,False
Arabic,XTTS-v2,outputs/xtts/arabic/reference_tests/ar_greeting_multi.wav,success,,0.587951,0.625706,0.562844,0.592167,0.625706,False
Arabic,XTTS-v2,outputs/xtts/arabic/reference_tests/ar_greeting_short.wav,success,,0.573588,0.538416,0.460154,0.524053,0.573588,False
Arabic,XTTS-v2,outputs/xtts/arabic/reference_tests/ar_greeting_standard.wav,success,,0.519903,0.629504,0.47167,0.540359,0.629504,False
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_greeting.wav,success,,0.62208,0.81329,0.51266,0.649343,0.81329,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_greeting_ref_long.wav,success,,0.611568,0.610349,0.756915,0.65961,0.756915,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_greeting_ref_short.wav,success,,0.785502,0.671576,0.551992,0.66969,0.785502,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_greeting_ref_standard.wav,success,,0.62208,0.81329,0.51266,0.649343,0.81329,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_temp06_cfg05.wav,success,,0.62208,0.81329,0.51266,0.649343,0.81329,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_temp07_cfg04.wav,success,,0.631449,0.822289,0.554028,0.669256,0.822289,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_temp07_cfg05.wav,success,,0.620462,0.815291,0.540452,0.658735,0.815291,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_temp07_cfg06.wav,success,,0.627026,0.794922,0.4757,0.632549,0.794922,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_temp08_cfg05.wav,success,,0.644225,0.841807,0.569418,0.68515,0.841807,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_02_technology.wav,success,,0.614993,0.738881,0.517314,0.623729,0.738881,False
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_03_conversational.wav,success,,0.664482,0.833669,0.595229,0.697794,0.833669,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_04_numbers.wav,success,,0.646852,0.803312,0.585353,0.678506,0.803312,True
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_05_expressive.wav,success,,0.718464,0.80675,0.623449,0.716221,0.80675,True
